Name,Age,Nationality,Overall,Position,Value,Preferred Foot,Height,Weight,Position_Type
Alisson,25,Brazil,85,GK,36.5,Right,75,201,Defense
J. Kimmich,23,Germany,85,RCM,40.5,Right,69,154,Midfield
Saúl,23,Spain,85,RCM,50.5,Left,72,170,Midfield
R. Mahrez,27,Algeria,85,RW,40.5,Left,70,148,Attack
D. Alaba,26,Austria,85,LB,38,Left,71,168,Defense
Koke,26,Spain,85,LM,45,Right,69,163,Midfield
A. Lacazette,27,France,85,ST,45,Right,69,161,Attack
K. Manolas,27,Greece,85,LCB,37.5,Right,74,183,Defense
N. Otamendi,30,Argentina,85,CB,28.5,Right,72,179,Defense
Parejo,29,Spain,85,RCM,37,Right,72,163,Midfield
Paulinho,29,Brazil,85,LDM,37,Right,72,157,Midfield
W. Szczęsny,28,Poland,85,GK,32,Right,77,198,Defense
A. Sánchez,29,Chile,85,RW,37.5,Right,67,163,Attack
Y. Brahimi,28,Algeria,85,LM,39,Right,69,146,Midfield
J. Boateng,29,Germany,85,RCB,30,Right,76,198,Defense
A. Vidal,31,Chile,85,CAM,26,Right,71,165,Midfield
I. Perišić,29,Croatia,85,LM,37.5,Right,73,176,Midfield
E. Džeko,32,Bosnia Herzegovina,85,ST,30.5,Right,76,185,Attack
S. Khedira,31,Germany,85,RCM,33,Right,74,198,Midfield
Diego Costa,29,Spain,85,LS,38.5,Right,74,190,Attack
R. Nainggolan,30,Belgium,85,CAM,35.5,Right,69,170,Midfield
Naldo,35,Brazil,85,CB,9,Right,78,201,Defense
B. Matuidi,31,France,85,LM,26,Left,71,165,Midfield
Miranda,33,Brazil,85,CB,15.5,Right,73,172,Defense
K. Benzema,30,France,85,ST,37,Right,73,179,Attack
Filipe Luís,32,Brazil,85,LB,21.5,Left,72,163,Defense
V. Kompany,32,Belgium,85,CB,22,Right,75,187,Defense
Pepe,35,Portugal,85,RCB,9,Right,74,179,Defense
Z. Ibrahimović,36,Sweden,85,RS,14,Right,77,209,Attack
D. Sánchez,22,Colombia,84,RCB,34,Right,74,174,Defense
J. Giménez,23,Uruguay,84,RCB,34,Right,73,176,Defense
Alex Telles,25,Brazil,84,LB,32,Left,71,157,Defense
A. Laporte,24,France,84,LCB,34,Left,74,187,Defense
Bruno Fernandes,23,Portugal,84,LCM,40.5,Right,70,152,Midfield
N. Süle,22,Germany,84,CB,36.5,Right,77,214,Defense
A. Martial,22,France,84,LW,42.5,Right,72,168,Attack
D. Alli,22,England,84,LCM,42.5,Right,74,176,Midfield
Fabinho,24,Brazil,84,CDM,34,Right,74,172,Midfield
Marquinhos,24,Brazil,84,LDM,35.5,Right,72,165,Midfield
William Carvalho,26,Portugal,84,CDM,31.5,Right,74,183,Midfield
Jorginho,26,Italy,84,CM,38,Right,71,148,Midfield
F. Thauvin,25,France,84,RM,39,Left,70,154,Midfield
Carvajal,26,Spain,84,RB,31.5,Right,68,161,Defense
M. Depay,24,Netherlands,84,ST,42,Right,69,172,Attack
H. Son,25,Korea Republic,84,LM,37,Right,72,143,Midfield
A. Lopes,27,Portugal,84,GK,25,Left,72,179,Defense
S. de Vrij,26,Netherlands,84,CB,31.5,Right,74,172,Defense
M. Perin,25,Italy,84,GK,29.5,Right,74,170,Defense
J. Cuadrado,30,Colombia,84,RAM,29.5,Right,70,159,Midfield
Iago Aspas,30,Spain,84,ST,30,Left,69,148,Attack
B. Leno,26,Germany,84,GK,27,Right,75,183,Defense
N. Matić,29,Serbia,84,CDM,24,Left,76,187,Midfield
L. Hrádecký,28,Finland,84,GK,22,Right,76,187,Defense
Illarramendi,28,Spain,84,RDM,31,Right,70,165,Midfield
K. Walker,28,England,84,RB,24.5,Right,72,154,Defense
I. Gündoğan,27,Germany,84,CM,32,Right,71,176,Midfield
José Callejón,31,Spain,84,RM,27.5,Right,70,161,Midfield
A. Di María,30,Argentina,84,RM,29.5,Left,71,152,Midfield
M. Mandžukić,32,Croatia,84,ST,25,Right,75,187,Attack
Willian,29,Brazil,84,RW,30.5,Right,69,172,Attack
Sergio Asenjo,29,Spain,84,GK,24,Right,74,192,Defense
E. Banega,30,Argentina,84,CDM,29,Right,69,157,Midfield
A. Witsel,29,Belgium,84,LCM,24,Right,74,179,Midfield
D. Payet,31,France,84,CAM,27.5,Right,69,170,Midfield
Jonas,34,Brazil,84,ST,16.5,Right,71,163,Attack
Sokratis,30,Greece,84,RCB,23,Right,73,187,Defense
S. Ruffier,31,France,84,GK,19,Right,74,205,Defense
Falcao,32,Colombia,84,RS,25,Right,70,159,Attack
K. Schmeichel,31,Denmark,84,GK,19,Right,74,196,Defense
Raúl Albiol,32,Spain,84,RCB,18,Right,75,181,Defense
A. Gómez,30,Argentina,84,LS,30,Right,65,150,Attack
A. Barzagli,37,Italy,84,CB,4.2,Right,74,192,Defense
Quaresma,34,Portugal,84,RM,15.5,Right,69,148,Midfield
A. Robben,34,Netherlands,84,RM,15.5,Left,71,176,Midfield
O. Dembélé,21,France,83,RW,40,Left,70,148,Attack
Gabriel Jesus,21,Brazil,83,ST,41,Right,69,161,Attack
Ronaldo Cabrais,26,Brazil,83,RW,28,Right,70,165,Attack
Josué Chiamulera,26,Brazil,83,LCB,22.5,Right,73,176,Defense
Louri Beretta,26,Brazil,83,ST,28.5,Right,74,183,Attack
P. Kimpembe,22,France,83,LCB,30.5,Left,74,176,Defense
N. Keïta,23,Guinea,83,CM,34,Right,68,141,Midfield
C. Tolisso,23,France,83,CM,34,Right,71,179,Midfield
T. Lemar,22,France,83,LM,35.5,Left,67,137,Midfield
K. Coman,22,France,83,LM,34,Right,70,157,Midfield
J. Tah,22,Germany,83,CB,29.5,Right,77,214,Defense
Anderson Talisca,24,Brazil,83,CAM,36.5,Left,75,176,Midfield
T. Werner,22,Germany,83,RW,34.5,Right,71,165,Attack
A. Rabiot,23,France,83,CM,33,Left,76,176,Midfield
L. Goretzka,23,Germany,83,CM,34,Right,74,174,Midfield
Q. Promes,26,Netherlands,83,RM,30.5,Right,69,159,Midfield
H. Ziyech,25,Morocco,83,RAM,32.5,Left,71,143,Midfield
Lucas Vázquez,27,Spain,83,RW,27,Right,68,154,Attack
Y. Carrasco,24,Belgium,83,LM,33,Right,71,161,Midfield
Gerard Moreno,26,Spain,83,LS,32,Left,71,170,Attack
Felipe,29,Brazil,83,RCB,20,Right,75,190,Defense
M. Kovačić,24,Croatia,83,LCM,35,Right,69,172,Midfield
Kepa,23,Spain,83,GK,28.5,Right,73,187,Defense
Manu Trigueros,26,Spain,83,RCM,30,Right,70,165,Midfield
S. Gnabry,22,Germany,83,ST,34.5,Right,69,165,Attack
J. Pickford,24,England,83,GK,25,Left,73,170,Defense
S. Savić,27,Montenegro,83,CB,26,Right,74,174,Defense
J. Stones,24,England,83,RCB,28.5,Right,74,154,Defense
Suso,24,Spain,83,RW,33,Left,69,154,Attack
J. Draxler,24,Germany,83,CM,32.5,Right,74,170,Midfield
Felipe Anderson,25,Brazil,83,LM,31.5,Right,69,154,Midfield
Lucas Moura,25,Brazil,83,RM,31,Right,69,154,Midfield
Danilo Pereira,26,Portugal,83,CDM,27,Right,74,183,Midfield
Nacho Fernández,28,Spain,83,CB,24.5,Right,71,168,Defense
T. Horn,25,Germany,83,GK,24,Left,76,198,Defense
Allan,27,Brazil,83,RCM,26.5,Right,69,163,Midfield
F. Acerbi,30,Italy,83,CB,19,Left,76,194,Defense
Sergi Roberto,26,Spain,83,RB,26.5,Right,70,150,Defense
Rodrigo,27,Spain,83,ST,30.5,Left,72,170,Attack
Pizzi,28,Portugal,83,LCM,25.5,Right,70,159,Midfield
K. Kampl,27,Slovenia,83,LCM,26.5,Right,70,148,Midfield
Neto,28,Brazil,83,GK,21,Right,75,185,Defense
O. Baumann,28,Germany,83,GK,21,Right,74,181,Defense
I. Gueye,28,Senegal,83,RDM,21,Right,69,146,Midfield
H. Mkhitaryan,29,Armenia,83,RM,25.5,Right,70,165,Midfield
Marcos Alonso,27,Spain,83,LB,24,Left,74,192,Defense
D. Subašić,33,Croatia,83,GK,13,Right,75,185,Defense
K. Glik,30,Poland,83,RCB,19,Right,75,176,Defense
K. Strootman,28,Netherlands,83,CDM,21,Left,73,176,Midfield
B. Dost,29,Netherlands,83,ST,26,Right,77,196,Attack
Oscar,26,Brazil,83,LCM,30.5,Right,70,146,Midfield
M. Balotelli,27,Italy,83,LS,27.5,Right,74,194,Attack
Luiz Gustavo,30,Brazil,83,LCB,19,Left,74,172,Defense
Giuliano,28,Brazil,83,CAM,26,Right,68,150,Midfield
David Luiz,31,Brazil,83,LCB,17.5,Right,74,190,Defense
R. Fährmann,29,Germany,83,GK,20,Right,78,216,Defense
Juan Mata,30,Spain,83,RM,24.5,Left,67,139,Midfield
Adán,31,Spain,83,GK,15.5,Left,75,203,Defense
Rui Patrício,30,Portugal,83,GK,16.5,Left,75,185,Defense
Y. Sommer,29,Switzerland,83,GK,20,Right,72,174,Defense
Javi Martínez,29,Spain,83,CDM,20,Right,76,190,Midfield
L. Bender,29,Germany,83,RB,20,Right,73,179,Defense
Lucas Leiva,31,Brazil,83,LDM,17.5,Right,70,172,Midfield
S. Mandanda,33,France,83,GK,13,Right,73,181,Defense
Cesc Fàbregas,31,Spain,83,CM,22,Right,70,170,Midfield
M. Dembélé,30,Belgium,83,CM,24,Left,73,181,Midfield
F. Ribéry,35,France,83,LM,11.5,Right,67,159,Midfield
R. Jarstein,33,Norway,83,GK,13,Right,75,181,Defense
D. De Rossi,34,Italy,83,RDM,8,Right,72,183,Midfield
Pepe Reina,35,Spain,83,GK,6,Right,74,203,Defense
J. Pavlenka,26,Czech Republic,82,GK,19.5,Right,77,179,Defense
M. de Ligt,18,Netherlands,82,RCB,27,Right,74,196,Defense
Rodri,22,Spain,82,CM,29,Right,75,181,Midfield
Arthur,21,Brazil,82,LCM,32.5,Right,67,161,Midfield
G. Donnarumma,19,Italy,82,GK,29,Right,77,198,Defense
Rosberto Dourado,30,Brazil,82,RCM,16.5,Right,69,154,Midfield
Juiano Mestres,34,Brazil,82,RCB,6.5,Right,71,181,Defense
Raphaelito Anjos,30,Brazil,82,GK,14,Right,75,187,Defense
Gelson Martins,23,Portugal,82,RM,29.5,Right,68,159,Midfield
Gonçalo Guedes,21,Portugal,82,LM,29,Right,70,150,Midfield
L. Torreira,22,Uruguay,82,LCM,25,Right,66,141,Midfield
Malcom,21,Brazil,82,RW,31.5,Left,68,163,Attack
Pau López,23,Spain,82,GK,21.5,Left,74,170,Defense
L. Hernández,22,France,82,LB,25.5,Left,72,168,Defense
C. Lenglet,23,France,82,LCB,26,Left,73,179,Defense
A. Kramarić,27,Croatia,82,LCM,26,Right,70,161,Midfield
A. Robertson,24,Scotland,82,LB,24.5,Left,70,141,Defense
Dani García,28,Spain,82,RCM,20,Right,71,176,Midfield
F. Bernardeschi,24,Italy,82,RM,29.5,Left,73,170,Midfield
J. Brandt,22,Germany,82,LM,30.5,Right,73,185,Midfield
D. Rugani,23,Italy,82,CB,24.5,Right,75,185,Defense
Samu Castillejo,23,Spain,82,RM,29,Left,72,148,Midfield
João Cancelo,24,Portugal,82,RB,25.5,Right,72,163,Defense
A. Romagnoli,23,Italy,82,LCB,26.5,Left,74,172,Defense
T. Partey,25,Ghana,82,CDM,25.5,Right,73,170,Midfield
Fred,25,Brazil,82,CM,26.5,Left,67,141,Midfield
J. Vardy,31,England,82,ST,20,Right,70,163,Attack
A. Belotti,24,Italy,82,LS,30,Right,71,159,Attack
E. Forsberg,26,Sweden,82,LM,26,Right,70,163,Midfield
J. Lingard,25,England,82,CAM,26.5,Right,69,137,Midfield
F. Vázquez,29,Argentina,82,LCM,21.5,Left,73,181,Midfield
E. Višća,28,Bosnia Herzegovina,82,RM,22.5,Right,68,139,Midfield
A. Rüdiger,25,Germany,82,CB,22.5,Right,75,187,Defense
A. Florenzi,27,Italy,82,RB,20.5,Right,68,148,Defense
H. Maguire,25,England,82,LCB,23.5,Right,76,220,Defense
T. Meunier,26,Belgium,82,RM,21,Right,75,198,Midfield
S. Sané,27,Senegal,82,CB,18.5,Right,77,187,Defense
G. Kondogbia,25,Central African Rep.,82,CM,27.5,Left,74,176,Midfield
Rafinha,25,Brazil,82,CAM,29.5,Left,69,157,Midfield
Gabriel Paulista,27,Brazil,82,LCB,21,Right,74,174,Defense
Morata,25,Spain,82,ST,28.5,Right,74,187,Attack
J. Cillessen,29,Netherlands,82,GK,18,Right,73,183,Defense
W. Ben Yedder,27,France,82,RS,23.5,Right,67,150,Attack
C. Bakambu,27,DR Congo,82,ST,26,Right,72,161,Attack
Pablo Sarabia,26,Spain,82,RCM,26,Left,69,154,Midfield
W. Zaha,25,Ivory Coast,82,LS,28.5,Right,71,146,Attack
Luis Alberto,25,Spain,82,CF,28.5,Right,72,163,Attack
Jonathan Viera,28,Spain,82,LF,22.5,Right,67,141,Attack
Bartra,27,Spain,82,CB,21,Right,72,161,Defense
S. Coates,27,Uruguay,82,RCB,21,Right,77,203,Defense
Willian José,26,Brazil,82,ST,26.5,Right,74,205,Attack
Mário Fernandes,27,Russia,82,RB,18.5,Right,74,176,Defense
Víctor Ruiz,29,Spain,82,LCB,19.5,Left,73,172,Defense
T. Delaney,26,Denmark,82,LCM,21.5,Left,72,174,Midfield
K. Casteels,26,Belgium,82,GK,19.5,Left,78,190,Defense
M. Götze,26,Germany,82,CM,27,Right,69,165,Midfield
S. Mustafi,26,Germany,82,RCB,22.5,Right,72,181,Defense
J. Pastore,29,Argentina,82,CAM,21.5,Right,74,172,Midfield
Pedro,30,Spain,82,RW,21,Right,67,143,Attack
G. Bonaventura,28,Italy,82,CM,22,Right,71,165,Midfield
R. Bürki,27,Switzerland,82,GK,18.5,Right,74,187,Defense
Taison,30,Brazil,82,LM,21,Right,68,141,Midfield
S. Nzonzi,29,France,82,CDM,17,Right,77,165,Midfield
Marlos,30,Ukraine,82,RM,21,Left,69,152,Midfield
A. Ramsey,27,Wales,82,CAM,25,Right,72,168,Midfield
K. Trippier,27,England,82,RB,18.5,Right,70,159,Defense
A. Kolarov,32,Serbia,82,LB,12.5,Left,74,183,Defense
G. Sigurðsson,28,Iceland,82,CAM,22.5,Right,73,181,Midfield
S. Giovinco,31,Italy,82,CF,20,Right,64,134,Attack
M. Arnautović,29,Austria,82,LS,22,Right,76,183,Attack
N. Gaitán,30,Argentina,82,CAM,21,Left,68,146,Midfield
J. Henderson,28,England,82,RCM,18,Right,72,176,Midfield
M. Kruse,30,Germany,82,ST,21.5,Left,71,168,Attack
M. Parolo,33,Italy,82,RDM,9,Right,72,165,Midfield
L. Fejsa,29,Serbia,82,CDM,17,Right,72,176,Midfield
A. Rami,32,France,82,RCB,12.5,Right,75,198,Defense
V. Ćorluka,32,Croatia,82,LCB,12.5,Right,76,185,Defense
G. Wijnaldum,27,Netherlands,82,CAM,23,Right,69,152,Midfield
F. Fazio,31,Argentina,82,LCB,15,Right,77,187,Defense
O. Giroud,31,France,82,ST,20,Left,76,203,Attack
Marcano,31,Spain,82,CB,15,Left,74,170,Defense
A. Guardado,31,Mexico,82,CM,19,Left,67,148,Midfield
E. Garay,31,Argentina,82,RCB,15,Right,74,198,Defense
Jardel,32,Brazil,82,LCB,12.5,Right,76,192,Defense
S. Sirigu,31,Italy,82,GK,13.5,Right,76,176,Defense
E. Viviano,32,Italy,82,GK,12.5,Left,77,198,Defense
L. Koscielny,32,France,82,CB,12.5,Right,73,165,Defense
A. Consigli,31,Italy,82,GK,13.5,Right,74,181,Defense
L. Biglia,32,Argentina,82,CDM,12.5,Right,70,139,Midfield
Dani Alves,35,Brazil,82,RB,4.8,Right,68,150,Defense
David Villa,36,Spain,82,ST,8,Right,69,152,Attack
Aduriz,37,Spain,82,ST,8,Right,72,172,Attack
P. Čech,36,Czech Republic,82,GK,3,Left,77,198,Defense
Casillas,37,Spain,82,GK,1.5,Left,73,185,Defense
M. Rashford,20,England,81,LW,27,Right,73,154,Attack
Laure Santeiro,30,Brazil,81,CAM,17,Left,67,139,Midfield
L. Bailey,20,Jamaica,81,LM,26.5,Left,70,174,Midfield
M. Akanji,22,Switzerland,81,LCB,21,Right,74,187,Defense
F. de Jong,21,Netherlands,81,LDM,26,Right,71,154,Midfield
Nélson Semedo,24,Portugal,81,RB,20,Right,70,148,Defense
Pablo Fornals,22,Spain,81,CAM,24,Right,70,148,Midfield
Fabián,22,Spain,81,LM,26,Left,74,154,Midfield
E. Bailly,24,Ivory Coast,81,CB,21,Right,73,170,Defense
Dani Ceballos,21,Spain,81,LCM,25,Right,70,154,Midfield
H. Lozano,22,Mexico,81,LS,24,Right,69,154,Attack
Morales,30,Spain,81,LS,17,Right,71,154,Attack
J. Seri,26,Ivory Coast,81,LDM,20.5,Right,67,161,Midfield
M. Politano,24,Italy,81,RM,22.5,Left,67,148,Midfield
M. Brozović,25,Croatia,81,LDM,18.5,Right,71,150,Midfield
Williams,24,Spain,81,LW,24.5,Right,73,174,Attack
A. Correa,23,Argentina,81,RM,24.5,Right,67,150,Midfield
A. Christensen,22,Denmark,81,LCB,21.5,Right,74,179,Defense
João Mário,25,Portugal,81,CAM,22.5,Right,70,161,Midfield
T. Strakosha,23,Albania,81,GK,17,Right,76,172,Defense
E. Hysaj,24,Albania,81,RB,20,Right,72,154,Defense
P. Zieliński,24,Poland,81,RCM,24.5,Right,71,165,Midfield
Ricardo Pereira,24,Portugal,81,RB,19,Right,69,154,Defense
Grimaldo,22,Spain,81,LB,20.5,Left,67,152,Defense
R. Guerreiro,24,Portugal,81,LM,24,Left,67,157,Midfield
A. Doucouré,25,France,81,RDM,19.5,Right,72,168,Midfield
J. Martínez,25,Venezuela,81,LS,22.5,Right,67,152,Attack
C. Bacca,31,Colombia,81,LS,16,Right,71,170,Attack
A. Plea,25,France,81,LW,22,Right,71,174,Attack
B. Davies,25,Wales,81,LB,18.5,Left,72,168,Defense
M. Nastasić,25,Serbia,81,LCB,18.5,Left,74,183,Defense
A. Milik,24,Poland,81,CF,25.5,Left,73,172,Attack
M. Sabitzer,24,Austria,81,LM,22.5,Right,70,170,Midfield
B. Mendy,23,France,81,LB,20,Left,73,187,Defense
C. Kramer,27,Germany,81,CDM,17,Right,75,168,Midfield
S. Vrsaljko,26,Croatia,81,RB,18,Right,71,168,Defense
T. Hazard,25,Belgium,81,RW,21.5,Right,69,152,Attack
K. Bellarabi,28,Germany,81,RM,18,Right,72,179,Midfield
S. Zaza,27,Italy,81,RS,21,Left,73,185,Attack
F. Ghoulam,27,Algeria,81,LB,16.5,Left,72,176,Defense
B. Lecomte,27,France,81,GK,15,Left,73,172,Defense
J. Iličić,30,Slovenia,81,CAM,17,Left,75,174,Midfield
K. Volland,25,Germany,81,ST,22,Left,70,187,Attack
Paco Alcácer,24,Spain,81,ST,23.5,Right,69,159,Attack
Vitolo,28,Spain,81,LM,18,Right,73,174,Midfield
G. Xhaka,25,Switzerland,81,LDM,22,Left,73,181,Midfield
D. Tadić,29,Serbia,81,LAM,17.5,Left,71,168,Midfield
C. Aránguiz,29,Chile,81,LDM,17,Right,67,154,Midfield
S. Verdi,25,Italy,81,RW,19.5,Left,67,134,Attack
D. Lovren,28,Croatia,81,RCB,16,Right,74,185,Defense
G. Medel,30,Chile,81,RCB,13,Right,67,143,Defense
X. Shaqiri,26,Switzerland,81,CAM,19,Left,67,159,Midfield
J. Corona,25,Mexico,81,RM,21.5,Right,68,137,Midfield
A. Areola,25,France,81,GK,16.5,Right,77,207,Defense
K. Vogt,26,Germany,81,CB,17.5,Right,76,187,Defense
Ander Herrera,28,Spain,81,CM,17.5,Right,72,154,Midfield
E. Salvio,27,Argentina,81,RW,18.5,Right,68,170,Attack
S. El Shaarawy,25,Italy,81,LM,21,Right,70,159,Midfield
C. Smalling,28,England,81,RCB,16,Right,76,179,Defense
Hulk,31,Brazil,81,RCM,15.5,Left,71,187,Midfield
S. Kagawa,29,Japan,81,CAM,17.5,Right,69,150,Midfield
M. Lanzini,25,Argentina,81,CAM,23,Right,66,130,Midfield
F. Smolov,28,Russia,81,ST,18.5,Right,74,176,Attack
L. Stindl,29,Germany,81,CF,18,Right,71,176,Attack
O. Toprak,28,Turkey,81,CB,16,Right,73,183,Defense
D. Perotti,29,Argentina,81,LW,17.5,Right,70,154,Attack
F. Muslera,32,Uruguay,81,GK,10,Right,75,163,Defense
B. Höwedes,30,Germany,81,RCB,13,Right,74,170,Defense
S. Kjær,29,Denmark,81,RCB,14,Right,74,185,Defense
S. Bender,29,Germany,81,LCB,14,Right,73,176,Defense
M. Valbuena,33,France,81,LM,11,Right,66,139,Midfield
Pedro León,31,Spain,81,RM,15.5,Right,72,161,Midfield
K. Boateng,31,Ghana,81,CM,15,Right,73,190,Midfield
L. Piszczek,33,Poland,81,RB,7,Right,72,174,Defense
A. Candreva,31,Italy,81,RM,15.5,Right,71,154,Midfield
D. Wass,29,Denmark,81,RB,17,Right,71,163,Defense
E. Lamela,26,Argentina,81,RM,21,Left,72,176,Midfield
D. Rose,27,England,81,LB,14.5,Left,69,168,Defense
C. Vela,29,Mexico,81,RW,17.5,Left,70,170,Attack
Renato Augusto,30,Brazil,81,LCM,16.5,Right,73,190,Midfield
A. Valencia,32,Ecuador,81,RM,10,Right,71,183,Midfield
L. Fabiański,33,Poland,81,GK,9,Right,75,183,Defense
João Moutinho,31,Portugal,81,RCM,15,Right,67,134,Midfield
Borja Valero,33,Spain,81,CAM,11,Right,69,161,Midfield
F. Quagliarella,35,Italy,81,RS,8,Right,71,174,Attack
B. Gomis,32,France,81,ST,14,Right,72,170,Attack
Manuel Fernandes,32,Portugal,81,LM,14,Right,69,165,Midfield
H. Herrera,28,Mexico,81,CM,17.5,Right,72,159,Midfield
Raffael,33,Brazil,81,CF,11,Right,69,152,Attack
Nani,31,Portugal,81,LM,15.5,Right,70,150,Midfield
J. Milner,32,England,81,CM,13.5,Right,69,154,Midfield
J. Mathieu,34,France,81,LCB,5.5,Left,74,185,Defense
Joaquín,36,Spain,81,LS,6,Right,70,165,Attack
M. Gómez,21,Uruguay,80,ST,20.5,Right,73,185,Attack
K. Havertz,19,Germany,80,CAM,22,Left,74,183,Midfield
T. Ndombele,21,France,80,CM,22.5,Right,71,168,Midfield
H. Aouar,20,France,80,LM,23.5,Right,69,154,Midfield
Carlos Soler,21,Spain,80,RM,21,Right,71,168,Midfield
